SignatureId	Perturbagen	GeneTargets	Concentration	CellLine	Time	is_exemplar
LINCSCP_100372	PD-0325901	MAP2K1|MAP2K2	10uM	HCC515	24h	
LINCSCP_100373	PD-0325901	MAP2K1|MAP2K2	3.33uM	HCC515	24h	
LINCSCP_100374	PD-0325901	MAP2K1|MAP2K2	1.11uM	HCC515	24h	
LINCSCP_100375	PD-0325901	MAP2K1|MAP2K2	0.37uM	HCC515	24h	
LINCSCP_100376	PD-0325901	MAP2K1|MAP2K2	0.12uM	HCC515	24h	
LINCSCP_100377	PD-0325901	MAP2K1|MAP2K2	0.04uM	HCC515	24h	
LINCSCP_100730	PD-0325901	MAP2K1|MAP2K2	10uM	HCC515	24h	
LINCSCP_100731	PD-0325901	MAP2K1|MAP2K2	3.33uM	HCC515	24h	
LINCSCP_100732	PD-0325901	MAP2K1|MAP2K2	1.11uM	HCC515	24h	
LINCSCP_100733	PD-0325901	MAP2K1|MAP2K2	0.37uM	HCC515	24h	
LINCSCP_100734	PD-0325901	MAP2K1|MAP2K2	0.12uM	HCC515	24h	
LINCSCP_100735	PD-0325901	MAP2K1|MAP2K2	0.04uM	HCC515	24h	
LINCSCP_101082	PD-0325901	MAP2K1|MAP2K2	10uM	HCC515	24h	
LINCSCP_101083	PD-0325901	MAP2K1|MAP2K2	3.33uM	HCC515	24h	
LINCSCP_101084	PD-0325901	MAP2K1|MAP2K2	1.11uM	HCC515	24h	
LINCSCP_101085	PD-0325901	MAP2K1|MAP2K2	0.37uM	HCC515	24h	
LINCSCP_101086	PD-0325901	MAP2K1|MAP2K2	0.12uM	HCC515	24h	
LINCSCP_101087	PD-0325901	MAP2K1|MAP2K2	0.04uM	HCC515	24h	
LINCSCP_107873	PD-0325901	MAP2K1|MAP2K2	10uM	HELA	24h	
LINCSCP_107874	PD-0325901	MAP2K1|MAP2K2	3.33uM	HELA	24h	
LINCSCP_107875	PD-0325901	MAP2K1|MAP2K2	1.11uM	HELA	24h	
LINCSCP_107876	PD-0325901	MAP2K1|MAP2K2	0.37uM	HELA	24h	
LINCSCP_107877	PD-0325901	MAP2K1|MAP2K2	0.12uM	HELA	24h	
LINCSCP_107878	PD-0325901	MAP2K1|MAP2K2	0.04uM	HELA	24h	
LINCSCP_10900	PD-0325901	MAP2K1|MAP2K2	10uM	ASC	24h	0
LINCSCP_11041	PD-0325901	MAP2K1|MAP2K2	10uM	ASC	24h	1
LINCSCP_111224	PD-0325901	MAP2K1|MAP2K2	3.33uM	HEPG2	24h	
LINCSCP_111225	PD-0325901	MAP2K1|MAP2K2	1.11uM	HEPG2	24h	
LINCSCP_111226	PD-0325901	MAP2K1|MAP2K2	0.37uM	HEPG2	24h	
LINCSCP_111227	PD-0325901	MAP2K1|MAP2K2	0.12uM	HEPG2	24h	
LINCSCP_111228	PD-0325901	MAP2K1|MAP2K2	0.04uM	HEPG2	24h	
LINCSCP_111625	PD-0325901	MAP2K1|MAP2K2	10uM	HEPG2	24h	
LINCSCP_111626	PD-0325901	MAP2K1|MAP2K2	3.33uM	HEPG2	24h	
LINCSCP_111627	PD-0325901	MAP2K1|MAP2K2	1.11uM	HEPG2	24h	
LINCSCP_111628	PD-0325901	MAP2K1|MAP2K2	0.37uM	HEPG2	24h	
LINCSCP_111629	PD-0325901	MAP2K1|MAP2K2	0.12uM	HEPG2	24h	
LINCSCP_111630	PD-0325901	MAP2K1|MAP2K2	0.04uM	HEPG2	24h	
LINCSCP_112205	PD-0325901	MAP2K1|MAP2K2	10uM	HEPG2	24h	
LINCSCP_112206	PD-0325901	MAP2K1|MAP2K2	3.33uM	HEPG2	24h	
LINCSCP_112207	PD-0325901	MAP2K1|MAP2K2	1.11uM	HEPG2	24h	
LINCSCP_112208	PD-0325901	MAP2K1|MAP2K2	0.37uM	HEPG2	24h	
LINCSCP_112209	PD-0325901	MAP2K1|MAP2K2	0.12uM	HEPG2	24h	
LINCSCP_112210	PD-0325901	MAP2K1|MAP2K2	0.04uM	HEPG2	24h	
LINCSCP_112563	PD-0325901	MAP2K1|MAP2K2	10uM	HEPG2	24h	
LINCSCP_112564	PD-0325901	MAP2K1|MAP2K2	3.33uM	HEPG2	24h	
LINCSCP_112565	PD-0325901	MAP2K1|MAP2K2	1.11uM	HEPG2	24h	
LINCSCP_112566	PD-0325901	MAP2K1|MAP2K2	0.37uM	HEPG2	24h	
LINCSCP_112567	PD-0325901	MAP2K1|MAP2K2	0.12uM	HEPG2	24h	
LINCSCP_112568	PD-0325901	MAP2K1|MAP2K2	0.04uM	HEPG2	24h	
LINCSCP_112914	PD-0325901	MAP2K1|MAP2K2	10uM	HEPG2	24h	
LINCSCP_112915	PD-0325901	MAP2K1|MAP2K2	3.33uM	HEPG2	24h	
LINCSCP_112916	PD-0325901	MAP2K1|MAP2K2	1.11uM	HEPG2	24h	
LINCSCP_112917	PD-0325901	MAP2K1|MAP2K2	0.37uM	HEPG2	24h	
LINCSCP_112918	PD-0325901	MAP2K1|MAP2K2	0.12uM	HEPG2	24h	
LINCSCP_112919	PD-0325901	MAP2K1|MAP2K2	0.04uM	HEPG2	24h	
LINCSCP_113045	PD-0325901	MAP2K1|MAP2K2	10uM	HME1	24h	
LINCSCP_113046	PD-0325901	MAP2K1|MAP2K2	3.33uM	HME1	24h	
LINCSCP_113047	PD-0325901	MAP2K1|MAP2K2	1.11uM	HME1	24h	
LINCSCP_113048	PD-0325901	MAP2K1|MAP2K2	0.37uM	HME1	24h	
LINCSCP_113049	PD-0325901	MAP2K1|MAP2K2	0.12uM	HME1	24h	
LINCSCP_113050	PD-0325901	MAP2K1|MAP2K2	0.04uM	HME1	24h	
LINCSCP_113397	PD-0325901	MAP2K1|MAP2K2	10uM	HME1	3h	
LINCSCP_113398	PD-0325901	MAP2K1|MAP2K2	3.33uM	HME1	3h	
LINCSCP_113399	PD-0325901	MAP2K1|MAP2K2	1.11uM	HME1	3h	
LINCSCP_113400	PD-0325901	MAP2K1|MAP2K2	0.37uM	HME1	3h	
LINCSCP_113401	PD-0325901	MAP2K1|MAP2K2	0.12uM	HME1	3h	
LINCSCP_113402	PD-0325901	MAP2K1|MAP2K2	0.04uM	HME1	3h	
LINCSCP_113977	PD-0325901	MAP2K1|MAP2K2	10uM	HME1	24h	
LINCSCP_113978	PD-0325901	MAP2K1|MAP2K2	3.33uM	HME1	24h	
LINCSCP_113979	PD-0325901	MAP2K1|MAP2K2	1.11uM	HME1	24h	
LINCSCP_113980	PD-0325901	MAP2K1|MAP2K2	0.37uM	HME1	24h	
LINCSCP_113981	PD-0325901	MAP2K1|MAP2K2	0.12uM	HME1	24h	
